Name,Number,Position,Height,Weight,Age,Exp,College
Cameron Jordan,94.0,DE,4-Jun,287.0,31.0,10,California
Alvin Kamara,41.0,RB,10-May,215.0,25.0,4,Tennessee
Derrick Kelly,68.0,OL,5-Jun,320.0,25.0,1,Florida State
Marshon Lattimore,23.0,CB,Jun-00,192.0,24.0,4,Ohio State
Tommylee Lewis,14.0,WR,7-May,168.0,28.0,4,Northern Illinois
Wil Lutz,3.0,K,11-May,184.0,26.0,5,Georgia State
Erik McCoy,78.0,C/G,4-Jun,303.0,23.0,2,Texas A&M
Ty Montgomery,88.0,RB,Jun-00,216.0,27.0,6,Stanford
Thomas Morstead,6.0,P,4-Jun,235.0,34.0,12,Southern Methodist
Latavius Murray,28.0,RB,3-Jun,230.0,30.0,8,Central Florida
Patrick Omameh,60.0,OG,4-Jun,327.0,30.0,8,Michigan
David Onyemata,93.0,DT,4-Jun,300.0,28.0,5,Manitoba (Canada)
Andrus Peat,75.0,G/T,7-Jun,316.0,27.0,6,Stanford
Ryan Ramczyk,71.0,T,6-Jun,314.0,26.0,4,Wisconsin
Sheldon Rankins,98.0,DT,2-Jun,305.0,26.0,5,Louisville
Malcolm Roach,97.0,DL,3-Jun,290.0,22.0,R,Texas
Craig Robertson,52.0,LB,1-Jun,234.0,32.0,9,North Texas
Patrick Robinson,21.0,CB,11-May,191.0,33.0,11,Florida State
Cesar Ruiz,51.0,C/G,4-Jun,316.0,21.0,R,Michigan
Emmanuel Sanders,17.0,WR,11-May,180.0,33.0,11,Southern Methodist
Tre'Quan Smith,10.0,WR,2-Jun,210.0,24.0,3,Central Florida
D.J. Swearinger,36.0,DB,10-May,205.0,29.0,8,South Carolina
Adam Trautman,82.0,TE,5-Jun,253.0,23.0,R,Dayton
Shy Tuttle,99.0,DT,3-Jun,300.0,25.0,2,Tennessee
Dwayne Washington,24.0,RB,1-Jun,223.0,26.0,5,Washington
P.J. Williams,26.0,DB,Jun-00,196.0,27.0,6,Florida State
Marcus Williams,43.0,S,1-Jun,195.0,24.0,4,Utah
Zach Wood,49.0,LS,3-Jun,255.0,27.0,4,Southern Methodist
Cam Akers,,,,,,,
